Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Temperature, 'c, Time, s 
75 mm, 32 'c, 8.800000 s 
75 mm, 31 'c, 9.000000 s 
75 mm, 31 'c, 9.200000 s 
73 mm, 31 'c, 9.400000 s 
75 mm, 31 'c, 9.600000 s 
74 mm, 31 'c, 9.800000 s 
75 mm, 30 'c, 10.000000 s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
73 mm, 30 'c, 0.200000 s 
72 mm, 29 'c, 0.400000 s 
71 mm, 29 'c, 0.600000 s 
72 mm, 29 'c, 0.800000 s 
73 mm, 28 'c, 1.000000 s 
72 mm, 28 'c, 1.200000 s 
72 mm, 28 'c, 1.400000 s 
71 mm, 28 'c, 1.600000 s 
72 mm, 28 'c, 1.800000 s 
71 mm, 28 'c, 2.000000 s 
73 mm, 28 'c, 2.200000 s 
70 mm, 27 'c, 2.400000 s 
71 mm, 28 'c, 2.600000 s 
72 mm, 27 'c, 2.800000 s 
72 mm, 27 'c, 3.000000 s 
73 mm, 27 'c, 3.200000 s 
71 mm, 27 'c, 3.400000 s 
73 mm, 27 'c, 3.600000 s 
72 mm, 27 'c, 3.800000 s 
72 mm, 27 'c, 4.000000 s 
73 mm, 27 'c, 4.200000 s 
71 mm, 27 'c, 4.400000 s 
70 mm, 27 'c, 4.600000 s 
71 mm, 27 'c, 4.800000 s 
71 mm, 26 'c, 5.000000 s 
71 mm, 27 'c, 5.200000 s 
72 mm, 26 'c, 5.400000 s 
71 mm, 26 'c, 5.600000 s 
71 mm, 26 'c, 5.800000 s 
71 mm, 26 'c, 6.000000 s 
71 mm, 26 'c, 6.200000 s 
71 mm, 26 'c, 6.400000 s 
70 mm, 26 'c, 6.600000 s 
71 mm, 26 'c, 6.800000 s 
71 mm, 26 'c, 7.000000 s 
71 mm, 26 'c, 7.200000 s 
71 mm, 26 'c, 7.400000 s 
70 mm, 26 'c, 7.600000 s 
71 mm, 25 'c, 7.800000 s 
71 mm, 26 'c, 8.000000 s 
71 mm, 26 'c, 8.200000 s 
71 mm, 26 'c, 8.400000 s 
70 mm, 26 'c, 8.600000 s 
71 mm, 26 'c, 8.800000 s 
71 mm, 26 'c, 9.000000 s 
71 mm, 26 'c, 9.200000 s 
72 mm, 26 'c, 9.400000 s 
70 mm, 26 'c, 9.600000 s 
71 mm, 26 'c, 9.800000 s 
69 mm, 26 'c, 10.000000 s 
Cal_Disp, mm, Temperature, 'c, Time, s 
71 mm, 28 'c, 0.200000 s 
71 mm, 28 'c, 0.400000 s 
71 mm, 28 'c, 0.600000 s 
71 mm, 29 'c, 0.800000 s 
71 mm, 30 'c, 1.000000 s 
69 mm, 30 'c, 1.200000 s 
72 mm, 31 'c, 1.400000 s 
70 mm, 31 'c, 1.600000 s 
71 mm, 32 'c, 1.800000 s 
73 mm, 32 'c, 2.000000 s 
72 mm, 33 'c, 2.200000 s 
74 mm, 33 'c, 2.400000 s 
73 mm, 34 'c, 2.600000 s 
73 mm, 34 'c, 2.800000 s 
74 mm, 35 'c, 3.000000 s 
73 mm, 35 'c, 3.200000 s 
73 mm, 36 'c, 3.400000 s 
75 mm, 36 'c, 3.600000 s 
75 mm, 37 'c, 3.800000 s 
78 mm, 37 'c, 4.000000 s 
76 mm, 38 'c, 4.200000 s 
78 mm, 39 'c, 4.400000 s 
78 mm, 39 'c, 4.600000 s 
78 mm, 40 'c, 4.800000 s 
80 mm, 40 'c, 5.000000 s 
80 mm, 41 'c, 5.200000 s 
80 mm, 42 'c, 5.400000 s 
80 mm, 42 'c, 5.600000 s 
82 mm, 43 'c, 5.800000 s 
